model,R2_mean,R2_std,MAE_mean,RMSE_mean
ExtraTrees,0.9473468236632353,0.018472925970997606,1.1956917040384243,2.140069348610306
XGBoost,0.9277327495463167,0.017995008795488474,1.7170143689632913,2.531495098085572
LightGBM,0.9256039399289271,0.020455870132783,1.5696781727411473,2.5642656145600413
GradientBoosting,0.9196610335251048,0.020993722755177444,1.7879929792379248,2.6632021300523414
RandomForest,0.9094962810786843,0.02502704695109201,1.715497967900839,2.824978966595892
Ridge,0.7596241742932136,0.027524287027773646,3.4530361142040804,4.663499541272309
Lasso,0.759393588204462,0.02773036931551143,3.4500173503256706,4.665813453937797
LinearRegression,0.759388273356691,0.027278297263649977,3.4684555569638236,4.6656627690605434
ElasticNet,0.7590239507449115,0.028322404551772224,3.424778309841656,4.669362030429506
